"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"saphdnut  ","P",01/19/2017 10:23,0,1,1         ,1         ,"",0.0208,<0>  ,0.0107,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,4.51,<0>  ,
"saphdnut  ","P",01/19/2017 10:25,0,1,1         ,2         ,"",0.0216,<0>  ,0.0056,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.95,<0>  ,
"saphdnut  ","P",03/08/2017 9:50,0,1,1         ,1         ,"",0.0101,<0>  ,0.0143,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,3.25,<0>  ,
"saphdnut  ","P",03/08/2017 9:53,0,1,1         ,2         ,"",0.0113,<0>  ,0.0097,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,4.29,<0>  ,
"saphdnut  ","P",04/05/2017 10:15,0,1,1         ,1         ,"",0.0081,<0>  ,0.0177,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,4.67,<0>  ,
"saphdnut  ","P",04/05/2017 10:17,0,1,1         ,2         ,"",0.0086,<0>  ,0.0224,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,4.68,<0>  ,
"saphdnut  ","P",05/17/2017 10:20,0,1,1         ,1         ,"",0.0142,<0>  ,0.061,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,6.14,<0>  ,
"saphdnut  ","P",05/17/2017 10:23,0,1,1         ,2         ,"",0.0148,<0>  ,0.057,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,6.62,<0>  ,
"saphdnut  ","P",06/22/2017 10:21,0,1,1         ,1         ,"",0.0263,<0>  ,0.0117,<0>  ,0.0018,<0>  ,0.0074,<0>  ,0.0092,<0>  ,9.43,<0>  ,
"saphdnut  ","P",06/22/2017 10:23,0,1,1         ,2         ,"",0.0271,<0>  ,0.0246,<0>  ,0.0018,<0>  ,0.0080,<0>  ,0.0098,<0>  ,11.81,<0>  ,
"saphdnut  ","P",07/19/2017 10:15,0,1,1         ,1         ,"",0.0303,<0>  ,0.0335,<0>  ,0.0174,<0>  ,0.0104,<0>  ,0.0278,<0>  ,10.21,<0>  ,
"saphdnut  ","P",07/19/2017 10:17,0,1,1         ,2         ,"",0.0308,<0>  ,0.0324,<0>  ,0.0178,<0>  ,0.0103,<0>  ,0.0281,<0>  ,9.81,<0>  ,
"saphdnut  ","P",08/16/2017 10:32,0,1,1         ,1         ,"",0.024,<0>  ,0.0115,<0>  ,0.0084,<0>  ,0.0132,<0>  ,0.0216,<0>  ,"",<0>  ,
"saphdnut  ","P",08/16/2017 10:34,0,1,1         ,2         ,"",0.03,<0>  ,0.0239,<0>  ,0.0122,<0>  ,0.0217,<0>  ,0.0339,<0>  ,"",<0>  ,
"saphdnut  ","P",09/28/2017 9:55,0,1,1         ,1         ,"",0.0396,<0>  ,0.0689,<0>  ,0.0072,<0>  ,0.0217,<0>  ,0.0289,<0>  ,"",<0>  ,
"saphdnut  ","P",09/28/2017 9:59,0,1,1         ,2         ,"",0.034,<0>  ,0.0443,<0>  ,0.0070,<0>  ,0.0204,<0>  ,0.0274,<0>  ,"",<0>  ,
"saphdnut  ","P",10/26/2017 10:40,0,1,1         ,1         ,"",0.0379,<0>  ,0.0331,<0>  ,0.0047,<0>  ,0.0099,<0>  ,0.0146,<0>  ,5.62,<0>  ,
"saphdnut  ","P",10/26/2017 10:43,0,1,1         ,2         ,"",0.0355,<0>  ,0.0312,<0>  ,0.0039,<0>  ,0.0068,<0>  ,0.0107,<0>  ,7.04,<0>  ,
"saphdnut  ","P",11/16/2017 10:48,0,1,1         ,1         ,"",0.0323,<0>  ,0.0056,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0095,<0>  ,3.61,<0>  ,
"saphdnut  ","P",11/16/2017 10:50,0,1,1         ,2         ,"",0.0325,<0>  ,0.0056,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0121,<0>  ,3.32,<0>  ,

