"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"saphdnut  ","P",01/11/2018 10:50,0,1,1         ,1         ,"",0.025,<0>  ,0.0153,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,5.93,<0>  ,
"saphdnut  ","P",01/11/2018 10:50,0,1,1         ,2         ,"",0.0251,<0>  ,0.0218,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0163,<0>  ,4.53,<0>  ,
"saphdnut  ","P",02/22/2018 10:43,0,1,1         ,1         ,"",0.03,<0>  ,0.0062,<-4> [SBL] ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,5.83,<0>  ,
"saphdnut  ","P",02/22/2018 10:45,0,1,1         ,2         ,"",0.0246,<0>  ,0.0062,<-4> [SBL] ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,4.7,<0>  ,
"saphdnut  ","P",03/28/2018 10:01,0,1,1         ,1         ,"",0.0161,<0>  ,0.0102,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0103,<0>  ,4.59,<0>  ,
"saphdnut  ","P",03/28/2018 10:03,0,1,1         ,2         ,"",0.0175,<0>  ,0.0145,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0101,<0>  ,4.37,<0>  ,
"saphdnut  ","P",04/26/2018 10:49,0,1,1         ,1         ,"",0.0129,<0>  ,0.0109,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0117,<0>  ,5.92,<0>  ,
"saphdnut  ","P",04/26/2018 10:52,0,1,1         ,2         ,"",0.0131,<0>  ,0.0116,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0115,<0>  ,7.08,<0>  ,
"saphdnut  ","P",05/23/2018 10:40,0,1,1         ,1         ,"",0.0135,<0>  ,0.0281,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0095,<0>  ,3.99,<0>  ,
"saphdnut  ","P",05/23/2018 10:45,0,1,1         ,2         ,"",0.0163,<0>  ,0.0215,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0092,<0>  ,5.9,<0>  ,
"saphdnut  ","P",06/20/2018 10:45,0,1,1         ,1         ,"",0.0211,<0>  ,0.1247,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0983,<0>  ,9.76,<0>  ,
"saphdnut  ","P",06/20/2018 10:47,0,1,1         ,2         ,"",0.0234,<0>  ,0.0388,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0075,<0>  ,13.07,<0>  ,
"saphdnut  ","P",07/24/2018 10:50,0,1,1         ,1         ,"",0.0208,<0>  ,0.0107,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0126,<0>  ,10.12,<0>  ,
"saphdnut  ","P",07/24/2018 10:53,0,1,1         ,2         ,"",0.0206,<0>  ,0.0144,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0125,<0>  ,13.22,<0>  ,
"saphdnut  ","P",09/19/2018 11:06,0,1,1         ,1         ,"",0.0329,<0>  ,0.0481,<0>  ,0.0059,<0>  ,0.0081,<0>  ,0.014,<0>  ,6.34,<0>  ,
"saphdnut  ","P",09/19/2018 11:15,0,1,1         ,2         ,"",0.0334,<0>  ,0.0511,<0>  ,0.0061,<0>  ,0.0039,<0>  ,0.01,<0>  ,7.36,<0>  ,
"saphdnut  ","P",10/04/2018 11:15,0,1,1         ,1         ,"",0.0338,<0>  ,0.0356,<0>  ,0.0196,<0>  ,0.0146,<0>  ,0.0342,<0>  ,5.93,<0>  ,
"saphdnut  ","P",10/04/2018 11:18,0,1,1         ,2         ,"",0.033,<0>  ,0.03,<0>  ,0.0205,<0>  ,0.0208,<0>  ,0.0413,<0>  ,6.14,<0>  ,
"saphdnut  ","P",11/20/2018 11:44,0,1,1         ,1         ,"",0.0313,<0>  ,0.0123,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0111,<0>  ,4.14,<0>  ,
"saphdnut  ","P",11/20/2018 11:48,0,1,1         ,2         ,"",0.0311,<0>  ,0.0108,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0119,<0>  ,2.72,<0>  ,
"saphdnut  ","P",12/19/2018 10:50,0,1,1         ,2         ,"",0.0202,<0>  ,0.0333,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0065,<0>  ,1.81,<0>  ,
"saphdnut  ","P",12/19/2018 10:51,0,1,1         ,1         ,"",0.0238,<0>  ,0.041,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0081,<0>  ,1.78,<0>  ,

